name,id,all_review_count
강릉 세인트존스호텔,3013417,11912
스카이베이 호텔 경포,3013409,7071
정동진 썬크루즈 호텔,1000114130,3278
강릉 경포대 파라다이스,100102,3110
호텔 탑스텐 정동진,3013374,3064
SL호텔 강릉,10042720,2733
강릉 루이스호텔,3009363,2446
강릉 더원펜션,1000101679,2394
강릉 경포대 호텔주노,3015407,2296
강릉 경포대 호텔랑,3010884,2114
강릉 더샾호텔,3013306,2082
강릉 경포대 큐브,3010391,2070
강릉 경포대 빅토리아,1000068,2038
강릉관광호텔,3008141,1926
강릉 아스라,3017781,1909
강릉 경포대 와이앤지(Y&G),3013181,1579
강릉 센트럴,27046,1419
강릉 경포대 에이제이 호텔,3000460,1360
강릉 어뮤즈스파펜션,3010970,1355
강릉 파인아트라벨,1000114001,1351
강릉 하이오션경포,1000108914,1339
강릉 브라운도트 강릉경포점,1000110490,1293
강릉 피어86스파펜션,3013024,1289
강릉 경포대 라메르 호텔,100098,1207
강릉 경포대 스완,1000236,1203
강릉 위드 호텔(강릉역점),1000102447,1155
강릉 니스파크,3020151,1153
강릉 H Avenue 강릉경포점,10041249,1121
강릉 라클라우드펜션,3018673,1097
강릉 스테이바다펜션,3006187,1091
강릉 음악시간스파펜션,1000100525,1073
강릉 안목을높이다펜션,1000108781,1063
강릉 피크닉,24503,1063
강릉 호텔 큐브,3013824,1056
강릉 경포수호텔,1000103506,1007
강릉 경포대 수 호텔,25910,984
강릉 넘버25 강릉경포점,1000104283,935
강릉 경포 호텔 마레,10046839,887
강릉 브라운도트 강릉역점,10048841,884
강릉(정동진) 정동진 모텔,26292,840
주문진 위너스 호텔,3011805,833
강릉씨티호텔,3015276,828
경포 비스타호텔,1000100529,820
강릉 기억스테이펜션(강문해변 도보1분),3020243,785
강릉 더그레이펜션,3004641,752
강릉 부띠크 루소호텔,27240,749
강릉 나인원 애견펜션,3012597,701
강릉(정동진) 호텔 모텔 탑스빌,24723,695
호텔 이스트나인,3013256,653
강릉 경포대 델타 호텔 (Delta Hotel),1000202,648
강릉 힐링하우스펜션,3003519,647
강릉 S,3016131,621
강릉 라피네호텔,3011533,610
강릉 경포대 인터파크,1000102592,582
강릉 경포대 아이리스 스테이,1000100071,582
강릉 썬리치펜션,10040724,581
강릉 경포대 산토리니,3012679,579
강릉 숨어있는집펜션,1000109262,578
강릉 강릉관광호텔,3017815,569
강릉 컨피네스 오션 스위트,10044360,541
강릉 벨라루나펜션 (해변도보 1분),3002581,532
강릉 그레이호텔,3012455,523
강릉 휘게노빌레 스파펜션(경포해변5분),3017242,520
강릉 워너비무인텔,3009841,519
강릉 HOTEL Vv,1019925,516
강릉 경포대 호텔 마레,3015404,504
강릉 민트클라우드펜션 (해변인근),3017326,500
강릉 포시즌호텔&펜션,3016441,499
강릉 포시즌 호텔&펜션,3016489,492
강릉 더뷰티호텔,1000145,462
강릉 경포대 오션,3001834,457
강릉 호텔여기어때 강릉경포점,25971,455
호텔하운드 강릉경포,3016454,451
강릉 로제펜션,3006020,444
강릉 경포로사풀빌라,3012282,435
강릉 루이스 호텔,3014141,430
강릉 아가바라 호텔,3014625,429
강릉 넘버25 강릉역점,10051273,425
에이치에비뉴 강릉경포,3015282,422
강릉 그곳펜션 (사천해변5분),1000111610,418
강릉 상상스파펜션,3012509,413
강릉 오핑하우스펜션,1000111438,411
강릉 아띠랑스스파펜션,3008844,407
강릉 오늘은바다애견펜션,1000105674,387
강릉 솔빛아래펜션,3004699,386
강릉(주문진) 바다,10040670,383
호텔 탑스빌 정동진,3011980,382
강릉 산타비치펜션(경포해변인근),1000111929,364
강릉 라미아까사풀빌라,1000106244,358
강릉 모안펜션,3012586,334
강릉 라라,1000109710,329
강릉 경포대 라벨르,10056667,314
