name,id,all_review_count
곳,1779443730,14040
강릉카페 체크이스트,1838131828,11939
스타벅스 강릉강문해변점,1926085994,8086
카페 툇마루,998885728,7704
스타벅스 강릉안목해변점,33021650,7513
강원옥 찹쌀떡,1087262116,6789
중화짬뽕빵,1246478918,5875
에이엠브레드앤커피,34203501,5855
바우카페 본점,1745145004,5466
플레이스 플러스,15294021,5373
카페제니엘 주문진점,1543529590,5182
스타벅스 강릉교동광장점,1459760339,5082
1992년 사기막,1273489865,4617
테라로사 사천해변점,1854962812,4564
크림하우스,1777557364,4492
강릉빵다방,66343890,4433
베이커리 가루,21095658,4071
스타벅스 강릉송정DT점,1830452681,4045
두딩,1270153623,4024
카페 뤼미에르,499938650,3988
카페동화,1037671264,3982
팡파미유 중앙시장점,1202298255,3930
초당110 순두부젤라또,1338491802,3912
강릉커피빵 본점,189619233,3892
타임슬립,1683765421,3848
키크러스 강릉점,36399670,3702
카페시로울,1921017062,3676
로지커피,1894965701,3675
오버웨잇 강릉본점,1669842519,3445
바우카페,1900553385,3257
롱블랙,1709924447,3237
커피 아메리카 강릉점,38520417,3132
이디야커피 강릉교동택지점,79408101,2944
산토리니커피,19823055,2868
커피씨엘,15331732,2589
미르마르,1933690279,2557
강릉커피콩빵 강릉당 안목해변점,1425096858,2556
정남미명과 강릉본점,1220981140,2535
강릉 초당찰떡,1995634579,2445
허스크밀,1103533977,2416
롱브레드 초당,1986612032,2328
스타벅스 강릉율곡DT점,1879279368,2324
강릉샌드 초당점,1212033877,2279
디오슬로,1824086717,2262
해옫 강릉,1266299794,2246
지베이스,38345396,2231
이디야커피 정동진역점,1219942297,2188
젤라또마켓 순두부젤라또,1355852682,2146
소돌엔 강릉,1299462841,2073
보헤미안박이추커피본점,11682971,1964
52블럭,38482509,1952
카페밀,1591483811,1923
도넛인사이드도넛 강릉점,1488770728,1840
파인파인 강릉점,1426647455,1818
교동빵집,1253183545,1773
카페알베로,15692078,1754
베리베리딸기,1315387703,1750
초당밀,1188561598,1748
강릉이래요,1318617687,1737
강원옥찹쌀떡 중앙시장점,1517734190,1717
배스킨라빈스 강릉대학로점,37160959,1699
강릉커피콩빵 강릉당 중앙시장점,1697573959,1692
쎄라비,1662017638,1665
장인더 강릉,2094977764,1664
설빙 강릉대학로점,35256483,1638
강릉그림카페,1546169801,1629
초당커피정미소 본점,1405929814,1629
브라질,15373350,1606
카페베네 안목점,20585367,1547
오드커피,1249217189,1468
아이즈 로스터리 홍제동 본점,1106082140,1377
플레이스 플러스,1195768568,1332
강릉 조개빵 강릉본점,1869523471,1302
홍제멘션 강릉 본점,1081008717,1302
강릉 사임당 인절미 강문본점,1630731945,1293
사루,1867724165,1280
커피커퍼박물관,1625751111,1278
커피커퍼 안목점,11887822,1268
크리스피크림도넛 강릉교동점,36767042,1251
투썸플레이스 강릉중앙점,30959782,1242
갈매기다방,1009179914,1229
데일리오아시스 강릉점,1948973432,1225
김성수제빵소 강릉점,1758181058,1212
라몬타냐,19900143,1193
하슬라가배,1536161656,1150
메가MGC커피 강릉교동솔올점,1784470266,1138
어게인디엠카페,1195126769,1134
보헤미안 커피 경포점,38275526,1097
초당커피,1046848158,1083
마더커피 강문점,1763738753,1082
도깨비젤라또,1147229173,1073
허씨커피,1927406130,1067
돔베이커리,15318913,1027
카페 초당순 강릉본점,1621771668,1025
강릉커피콩빵 강릉당 강릉역점,1763916720,1016
꾸옥 GGUOK,1497289783,987
메가MGC커피 강릉역점,1656009767,974
카페 코버트,1506869074,969
고메코나베이커리,1737820343,967
사월의 모노웜,1625914520,944
아뜨9,1721611016,943
스타벅스 강릉IC DT점,1174448798,908
솔방울제과점,1547896837,901
카페기와,1492455872,879
커피러버스,1526049518,865
카페초이,1606960077,861
초당고래로스팅카페,1209837360,848
명주배롱,13320528,847
커피내리는 버스정류장,31529835,831
던킨 강릉교동점,1215792352,817
허니홈비 강릉본점,1836092492,812
크림브리즈,1733358179,795
시만차 포그,2038520626,786
이로이로스모모,1578033962,772
그라우브,1647063521,767
임당동162,1070351925,759
포모도로,15299378,732
강릉샌드,1659347323,700
깔라마리,1174295057,683
빵을쇼핑하다빵명가치아바타CIABATTA,1839133695,652
리도커피,1001417136,644
쉘리스,13535267,603
굴리아케이크,1689574654,602
카페콥스,1974801379,602
에브리모먼트커피,1794472949,598
투썸플레이스 유천지구점,1633456108,590
과객,34537489,585
르블레도르,1588834856,567
라스텔리나,1182677835,566
빵파르,1670844066,564
알뜨,1671795817,561
백금당 강릉점,1504291324,547
마카모예 베이글바,1962975056,530
서지초가뜰,1439249340,526
봄,1275789425,505
카페디드,1756159133,497
비사이드그라운드,1569323095,469
알로하카페,1013606867,458
인비토,1263529731,452
성수미술관 강릉안목점,1267158607,451
썬카페,15702445,446
수줍은과자점,1995194178,443
월량화,1752487744,442
플레이스 플러스,1111813353,436
플레지르,38274668,432
그다이마잇,1033478410,426
오늘에,1288938606,421
AURA Cafe&Lounge,1176434004,418
카페 오뉴월,1325516945,414
희게,1019654977,409
어썸,263503029,404
글루크,2031533892,401
우가,1246262619,397
새바람이오는그늘,1026225860,394
음차차,1495937611,392
aie,1104085754,390
백야커피,1986607278,388
할리스 강릉안목해변점,1557387521,382
오브더모먼트,1024642914,380
이스트 베이커리,1331157860,380
강릉옥수수빵,1381613890,362
스타벅스 강릉주문진점,1169844332,360
젤라또까사,1605447318,360
코즈밀,1149019688,357
포르토포레스트하우스,1876301121,345
썬옥 베이커리카페,1612246511,342
르봉마젤 소품샵,1013733901,340
씨엠디컴퍼니,1083326838,338
카페 마눌,1761686436,336
디핑 초콜릿카페,1683569661,311
이프 iifff,1442187201,310
크레마코스타,19861939,304
파충류카페 강릉점,1086491623,304
강릉 미어지게,1959930841,292
강릉베이글,2078030409,270
삼송빵집 강릉경포점,1899236965,262
즈므로스터리,1700941376,258
초당소금빵,1834719170,257
강릉샌드 본점,2051244903,246
소돌엔 등대점,1396977535,234
카페 정화,1682187275,219
루모,2012122325,211
버떠,1500318606,211
말차로,1994587010,211
멜로우밀,1623800311,206
호리가,2091156925,206
커피아워,1133303813,201
텐퍼센트커피 강릉교동택지점,1526759655,200
강릉샌드 안목해변점,1019503112,183
헝키도리커피바,1292591709,180
차전자,2003320621,177
투썸플레이스 강릉교동택지점,1843451871,169
화이트리에 강릉점,1352455905,164
플레이스 플러스,1019347699,158
오브리에타,1024529564,157
카페 화조월석,1056262384,148
바스투체어,1277825412,148
스타벅스 강릉중앙점,1651019497,147
안다미로,1426989487,147
삼척오란다 강릉점,1391511090,144
달콤하잉,1099817979,143
플레이스 플러스,1891894301,129
상록당,2017317134,115
떡이네,2067021446,109
월선화,1457952472,100
크레마코스타 중앙시장점,2013389102,100
온유,2058022471,78
카페캔슈,1289622019,75
가디,1442771903,67
에브리데이크,2017141901,62
강원옥찹쌀떡&치코스타코 안목점,1009977259,49
애프터 이미지,1265990790,45
미미케이크,1750727150,43
어머야라,1612034459,40
디코이덕,1926050460,39
머뭄카페,2089930981,38
러빈레드,2029152357,33
덴켄,1639218638,30
원강희과자점,2069032826,23
테라로사 강릉 신라모노그램점,2064259008,22
안초당,2067971861,22
카페 객사문,1232320005,6
크림블랑,1575948320,2
