name,id,all_review_count
강릉짬뽕순두부 동화가든 본점,11859878,18609
나상명강릉초당순두부,1415619635,12878
엄지네포장마차 본점,15305467,12222
강릉역 옹막,1419683252,11036
초당훈이순두부짬뽕,1009432770,10809
강릉최대게 본점,13281876,9984
솔향대게 강릉본점,1385390950,9462
오봉이해물칼국수 강릉본점,1815335754,9392
브라보칼국수 강릉본점,1582249955,7351
강릉초당콩감자탕,1485403345,6933
정은숙초당순두부,13052149,6705
정동진 고기랑조개랑,911136265,6279
소나무집초당순두부,37349949,5912
강릉사임당오징어순대,1946538455,4997
강릉칼제비 강릉본점,1717795976,4714
강릉엄지네꼬막집 1호점,1175205136,4523
광덕식당 중앙시장점,15297320,4436
강릉빵다방,66343890,4398
강릉역옹막 안목점,1929924200,4332
금화왕돈까스 강릉교동점,1836613079,4044
장안횟집,19891301,3881
강릉 하월당 초당짬뽕순두부,1880153847,3870
벌집,15292474,3793
롯데리아강릉교동점,11824654,3650
강문가,1804546960,3630
농촌순두부,12031474,3613
김우정초당짬뽕순두부,34439221,3526
까치칼국수 강릉역,15315322,3518
감자바우 장칼국수,15299914,3374
강릉현대장칼국수 본점,20099799,3166
강릉파스타 아스따,1606609541,3130
서울양계,1693762102,3057
강릉고깃집 금돈,1990844214,2995
광덕식당,1216081294,2981
비빔상회 강릉본점,1294147426,2785
화니조개구이,1949567929,2775
최씨장칼국수,1660045304,2755
팔도전복해물뚝배기,1025642664,2674
수향수산횟집,1239178298,2671
연곡꾹저구탕,11716683,2634
티각태각대게고로케,1485501035,2602
뉴솔향초당순두부,1653763172,2429
바다를 담다,1024202971,2372
정동진 정가네순두부 본점,15368440,2348
제주해인물회,1036955196,2330
강릉꼬막집 독도네 본점,1606537999,2321
강릉맛드린 순두부해장국&감자탕,15311333,2316
은화식당,1190316988,2280
짬뽕 순두부 초당애,1489310166,2272
선채향,1117655474,2268
맛애정,19442037,2262
감자유원지,1811956729,2225
삼교리동치미막국수 강릉본점,37800217,2157
최일순 짬뽕순두부,1161455816,2123
초당토박이할머니순두부,33152153,2088
팔당원조칼제비 강릉남항진점,1193922269,2080
강릉짬뽕순두부 강릉본점,15320203,2071
선호라면,1416755080,2048
메밀애감자,1167311952,2013
강릉순두부장칼국수,1896195486,2011
철뚝소머리집,36777124,2010
명성오징어순대,1377680421,2008
13월의강릉 강릉본점,1945123119,1973
포남사골옹심이,15322327,1946
강냉이소쿠리,1151531006,1915
24시전주명가콩나물국밥 강릉점,37638052,1895
강릉꼬막비빔밥 풍호맛뜨락,37927755,1871
강릉전복해물뚝배기 강릉,36643281,1823
금성회관 강릉교동점,1793774479,1798
버거웍스,38268032,1794
내마음에찜 강릉본점,1593466816,1765
금천칼국수,15315308,1745
유성상회 강릉본점,15297075,1741
강릉엄지네꼬막집 2호점,1948103019,1693
감자적본부,15349260,1679
후토,1131502371,1580
메시56,1632217656,1529
부자대게,1587875423,1518
롯데리아 강릉터미날점,11824656,1485
가람집옹심이,19729238,1463
동해막국수,15377926,1445
이가네면옥,1997272116,1435
강릉79막회,1710211402,1432
오월에초당,36952290,1425
나운칼국수 강릉나운장칼국수 본점,15310761,1424
강릉유환식당,1096761497,1416
곰돌이왕만두,37270644,1402
옛카나리아,11857534,1387
초당명가 짬뽕순두부,1292073957,1300
만선감자옹심이,15349490,1287
강릉댁 아구찜,1574971436,1287
이쉐프의돈까스,1406475436,1284
400년집초당순두부,15351680,1279
길손,105450535,1268
강릉길감자,1085464055,1263
고향산천초당순두부,15327157,1219
청송장칼국수,15385027,1196
쯩라이,1772252227,1179
금성해장국,15287658,1144
본가동해막국수,15372721,1136
서당골산채,1103356219,1123
회산장칼국수,20511455,1114
강릉초당두부 정동진본점,1199383306,1112
강릉명가,1921017060,1103
옥시기농장,1712038558,1102
산마루황태촌 초당직영점,1453209507,1083
꼬막포차,1615813973,1076
BHC치킨 스카이베이경포호텔점,1491441649,1069
뚱할머니순두부 강릉본점,1823778216,1066
송죽원추어탕,15318226,1064
김밥나라 강릉본점,539519138,1044
문어랑 강릉주문진항점,1303070508,1041
삼교리동치미막국수 교동점,11554046,1031
강릉한정식 하서주미역,1625048966,1025
메밀능이촌 강릉역본점,19325932,1018
떡볶이는생각하지마세요,1379005450,1013
여왕개미식당,33920318,1010
솔옥,1560658401,1009
24시전주콩향기콩나물국밥,1096114647,995
